time,Room setpoint,Room Temp,return,return.1,discharge
02-Oct-2019 14:08:00,23.0,22.9,38.8,39.6,16.7
02-Oct-2019 14:09:00,23.0,23.0,38.8,39.5,16.7
02-Oct-2019 14:10:00,23.0,22.9,38.8,39.4,16.7
02-Oct-2019 14:11:00,23.0,23.0,38.8,39.6,16.7
02-Oct-2019 14:12:00,23.0,22.8,38.8,39.6,16.7
02-Oct-2019 14:13:00,23.0,22.9,38.8,39.6,16.7
02-Oct-2019 14:14:00,23.0,23.0,38.8,39.5,16.7
02-Oct-2019 14:15:00,23.0,22.9,38.8,39.5,16.7
02-Oct-2019 14:16:00,23.0,23.0,38.8,39.5,16.7
02-Oct-2019 14:17:00,23.0,23.0,38.8,39.3,16.7
02-Oct-2019 14:18:00,23.0,22.8,38.8,39.6,16.7
02-Oct-2019 14:19:00,23.0,22.9,38.9,39.7,16.7
02-Oct-2019 14:20:00,23.0,23.0,38.9,39.8,16.6
02-Oct-2019 14:21:00,23.0,22.9,38.9,39.1,16.7
02-Oct-2019 14:22:00,23.0,23.0,38.9,39.5,16.8
02-Oct-2019 14:23:00,23.0,22.9,38.8,39.4,16.7
02-Oct-2019 14:24:00,23.0,23.0,38.8,39.6,16.7
02-Oct-2019 14:25:00,23.0,22.9,38.8,39.6,16.7
02-Oct-2019 14:26:00,23.0,22.9,38.9,39.7,16.7
02-Oct-2019 14:27:00,23.0,22.9,38.7,39.4,16.7
02-Oct-2019 14:28:00,23.0,22.9,37.3,38.0,16.7
02-Oct-2019 14:29:00,23.0,22.9,35.7,36.1,16.6
02-Oct-2019 14:30:00,23.0,23.0,34.4,34.8,16.5
02-Oct-2019 14:31:00,23.0,22.9,33.3,33.4,16.3
02-Oct-2019 14:32:00,23.0,22.9,32.5,32.4,16.2
02-Oct-2019 14:33:00,23.0,23.0,31.8,31.6,16.0
02-Oct-2019 14:34:00,23.0,23.0,31.2,30.9,15.9
02-Oct-2019 14:35:00,23.0,23.1,30.7,30.3,15.9
02-Oct-2019 14:36:00,23.0,23.2,30.2,29.8,16.0
02-Oct-2019 14:37:00,23.0,23.3,29.7,29.1,16.1
02-Oct-2019 14:38:00,23.0,23.3,29.2,28.5,16.4
02-Oct-2019 14:39:00,23.0,23.2,28.7,28.0,16.6
02-Oct-2019 14:40:00,23.0,23.1,28.4,27.6,16.7
02-Oct-2019 14:41:00,23.0,23.1,28.1,27.4,16.7
02-Oct-2019 14:42:00,23.0,23.0,27.9,27.1,16.8
02-Oct-2019 14:43:00,23.0,23.0,27.6,27.0,16.8
02-Oct-2019 14:44:00,23.0,23.0,27.4,26.8,16.8
02-Oct-2019 14:45:00,23.0,23.0,27.2,26.6,16.8
02-Oct-2019 14:46:00,23.0,23.0,27.1,26.5,16.7
02-Oct-2019 14:47:00,23.0,23.0,27.0,26.3,16.7
02-Oct-2019 14:48:00,23.0,23.0,26.8,26.2,16.7
02-Oct-2019 14:49:00,23.0,23.0,26.7,26.0,16.7
02-Oct-2019 14:50:00,23.0,23.0,26.6,25.9,16.7
02-Oct-2019 14:51:00,23.0,22.9,26.5,25.8,16.7
02-Oct-2019 14:52:00,23.0,23.0,26.4,25.7,16.7
02-Oct-2019 14:53:00,23.0,23.0,26.3,25.6,16.7
02-Oct-2019 14:54:00,23.0,23.0,26.3,25.6,16.7
02-Oct-2019 14:55:00,23.0,22.9,26.1,25.5,16.7
02-Oct-2019 14:56:00,23.0,23.0,26.1,25.4,16.7
02-Oct-2019 14:57:00,23.0,22.9,26.0,25.4,16.7
02-Oct-2019 14:58:00,23.0,22.9,26.0,25.3,16.7
02-Oct-2019 14:59:00,23.0,22.9,25.9,25.3,16.6
