"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-02T09:20:19+02:00";null;null;null;null;null;null;null;null;2490.9238;null;null
"2019-10-02T09:20:30+02:00";null;null;null;null;null;2539.1108;null;null;null;null;null
"2019-10-02T09:20:31+02:00";null;null;null;2589.198;null;null;null;null;null;null;null
"2019-10-02T09:20:40+02:00";null;2108.7488;null;null;null;null;null;null;null;null;null
"2019-10-02T09:20:46+02:00";null;null;null;null;null;null;null;null;null;2110.2571;null
"2019-10-02T09:20:50+02:00";null;null;null;null;null;null;2066.4424;null;null;null;null
"2019-10-02T09:20:52+02:00";null;null;null;null;null;null;null;2090.7249;null;null;null
"2019-10-02T09:20:58+02:00";null;null;null;null;2126.9497;null;null;null;null;null;null
"2019-10-02T09:20:59+02:00";4778.3696;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:21:07+02:00";null;null;2142.8003;null;null;null;null;null;null;null;null
"2019-10-02T09:21:13+02:00";null;null;null;null;null;null;null;null;null;null;2601.4819
"2019-10-02T09:21:19+02:00";null;null;null;null;null;null;null;null;2464.9287;null;null
"2019-10-02T09:21:30+02:00";null;null;null;null;null;2521.9219;null;null;null;null;null
"2019-10-02T09:21:31+02:00";null;null;null;2514.8562;null;null;null;null;null;null;null
"2019-10-02T09:21:40+02:00";null;2057.0613;null;null;null;null;null;null;null;null;null
"2019-10-02T09:21:46+02:00";null;null;null;null;null;null;null;null;null;2113.1902;null
"2019-10-02T09:21:50+02:00";null;null;null;null;null;null;2159.9507;null;null;null;null
"2019-10-02T09:21:52+02:00";null;null;null;null;null;null;null;2104.8301;null;null;null
"2019-10-02T09:21:58+02:00";null;null;null;null;2107.9048;null;null;null;null;null;null
"2019-10-02T09:21:59+02:00";4672.9888;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:22:07+02:00";null;null;2126.1614;null;null;null;null;null;null;null;null
"2019-10-02T09:22:13+02:00";null;null;null;null;null;null;null;null;null;null;2674.7693
"2019-10-02T09:22:19+02:00";null;null;null;null;null;null;null;null;2584.6917;null;null
"2019-10-02T09:22:30+02:00";null;null;null;null;null;2540.8982;null;null;null;null;null
"2019-10-02T09:22:31+02:00";null;null;null;2599.2832;null;null;null;null;null;null;null
"2019-10-02T09:22:40+02:00";null;2074.2168;null;null;null;null;null;null;null;null;null
"2019-10-02T09:22:46+02:00";null;null;null;null;null;null;null;null;null;2041.2954;null
"2019-10-02T09:22:50+02:00";null;null;null;null;null;null;2086.9082;null;null;null;null
"2019-10-02T09:22:52+02:00";null;null;null;null;null;null;null;2189.8638;null;null;null
"2019-10-02T09:22:58+02:00";null;null;null;null;2085.0156;null;null;null;null;null;null
"2019-10-02T09:22:59+02:00";4558.9746;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:23:07+02:00";null;null;2180.7378;null;null;null;null;null;null;null;null
"2019-10-02T09:23:13+02:00";null;null;null;null;null;null;null;null;null;null;2522.749
"2019-10-02T09:23:19+02:00";null;null;null;null;null;null;null;null;2506.738;null;null
