"Time";"signal_default";"signal_max_1";"signal_max_2";"signal_min"
"2019-10-01T11:04:32+02:00";35.7;90;90;10
"2019-10-01T11:05:02+02:00";36.5;90;90;10
"2019-10-01T11:05:32+02:00";35.5;90;90;10
"2019-10-01T11:06:02+02:00";35.3;90;90;10
"2019-10-01T11:06:32+02:00";35.2;90;90;10
"2019-10-01T11:07:02+02:00";34.9;90;90;10
"2019-10-01T11:07:32+02:00";36.8;90;90;10
"2019-10-01T11:08:02+02:00";34.6;90;90;10
"2019-10-01T11:08:32+02:00";35.4;90;90;10
"2019-10-01T11:09:02+02:00";33.2;90;90;10
"2019-10-01T11:09:32+02:00";33.9;90;90;10
"2019-10-01T11:10:02+02:00";33.8;90;90;10
"2019-10-01T11:10:32+02:00";34.8;90;90;10
"2019-10-01T11:11:02+02:00";33.7;90;90;10
"2019-10-01T11:11:32+02:00";35;90;90;10
"2019-10-01T11:12:02+02:00";35.5;90;90;10
"2019-10-01T11:12:32+02:00";34.6;90;90;10
"2019-10-01T11:13:02+02:00";33.5;90;90;10
"2019-10-01T11:13:32+02:00";33.3;90;90;10
"2019-10-01T11:14:02+02:00";35;90;90;10
"2019-10-01T11:14:32+02:00";32.2;90;90;10
"2019-10-01T11:15:02+02:00";35.5;90;90;10
"2019-10-01T11:15:32+02:00";35.3;90;90;10
"2019-10-01T11:16:02+02:00";33.9;90;90;10
"2019-10-01T11:16:32+02:00";31.9;90;90;10
"2019-10-01T11:17:02+02:00";33.3;90;90;10
"2019-10-01T11:17:32+02:00";33.6;90;90;10
"2019-10-01T11:18:02+02:00";34.4;90;90;10
"2019-10-01T11:18:32+02:00";31.5;90;90;10
"2019-10-01T11:19:02+02:00";33.3;90;90;10
"2019-10-01T11:19:32+02:00";32.3;90;90;10
"2019-10-01T11:20:02+02:00";34.7;90;90;10
"2019-10-01T11:20:32+02:00";31.8;90;90;10
"2019-10-01T11:21:02+02:00";32.2;90;90;10
"2019-10-01T11:21:32+02:00";34.7;90;90;10
"2019-10-01T11:22:02+02:00";36.4;90;90;10
"2019-10-01T11:22:32+02:00";37.1;90;90;10
"2019-10-01T11:23:02+02:00";37.5;90;90;10
"2019-10-01T11:23:32+02:00";37.2;90;90;10
"2019-10-01T11:24:02+02:00";36.2;90;90;10
"2019-10-01T11:24:32+02:00";38.3;90;90;10
"2019-10-01T11:25:02+02:00";39.6;90;90;10
"2019-10-01T11:25:32+02:00";37.5;90;90;10
"2019-10-01T11:26:02+02:00";37.9;90;90;10
"2019-10-01T11:26:32+02:00";39.1;90;90;10
"2019-10-01T11:27:02+02:00";39.9;90;90;10
"2019-10-01T11:27:32+02:00";38.4;90;90;10
"2019-10-01T11:28:02+02:00";38.6;90;90;10
"2019-10-01T11:28:32+02:00";40.2;90;90;10
"2019-10-01T11:29:02+02:00";39;90;90;10
"2019-10-01T11:29:32+02:00";39.8;90;90;10
"2019-10-01T11:30:02+02:00";40.3;90;90;10
"2019-10-01T11:30:32+02:00";39;90;90;10
"2019-10-01T11:31:02+02:00";40.1;90;90;10
"2019-10-01T11:31:32+02:00";40.7;90;90;10
"2019-10-01T11:32:02+02:00";40.5;90;90;10
"2019-10-01T11:32:32+02:00";40.1;90;90;10
"2019-10-01T11:33:02+02:00";40.8;90;90;10
"2019-10-01T11:33:32+02:00";40.3;90;90;10
"2019-10-01T11:34:02+02:00";40.4;90;90;10
"2019-10-01T11:34:32+02:00";41;90;90;10
"2019-10-01T11:35:02+02:00";40.7;90;90;10
"2019-10-01T11:35:32+02:00";40.2;90;90;10
"2019-10-01T11:36:02+02:00";41.2;90;90;10
"2019-10-01T11:36:32+02:00";40.9;90;90;10
"2019-10-01T11:37:02+02:00";40.4;90;90;10
"2019-10-01T11:37:32+02:00";41;90;90;10
"2019-10-01T11:38:02+02:00";40.4;90;90;10
"2019-10-01T11:38:32+02:00";39.9;90;90;10
"2019-10-01T11:39:02+02:00";40.9;90;90;10
"2019-10-01T11:39:32+02:00";40.5;90;90;10
"2019-10-01T11:40:02+02:00";39.9;90;90;10
"2019-10-01T11:40:32+02:00";39.8;90;90;10
"2019-10-01T11:41:02+02:00";39.7;90;90;10
"2019-10-01T11:41:32+02:00";40.1;90;90;10
"2019-10-01T11:42:02+02:00";38.6;90;90;10
"2019-10-01T11:42:32+02:00";39.9;90;90;10
"2019-10-01T11:43:02+02:00";39.4;90;90;10
"2019-10-01T11:43:32+02:00";40;90;90;10
"2019-10-01T11:44:02+02:00";40.5;90;90;10
"2019-10-01T11:44:32+02:00";40.1;90;90;10
"2019-10-01T11:45:02+02:00";41;90;90;10
"2019-10-01T11:45:32+02:00";40.1;90;90;10
"2019-10-01T11:46:02+02:00";40.1;90;90;10
"2019-10-01T11:46:32+02:00";39.6;90;90;10
"2019-10-01T11:47:02+02:00";40.1;90;90;10
"2019-10-01T11:47:32+02:00";40.6;90;90;10
"2019-10-01T11:48:02+02:00";41.1;90;90;10
"2019-10-01T11:48:32+02:00";40.7;90;90;10
"2019-10-01T11:49:02+02:00";39.7;90;90;10
"2019-10-01T11:49:32+02:00";40.2;90;90;10
"2019-10-01T11:50:02+02:00";40.7;90;90;10
"2019-10-01T11:50:32+02:00";40.2;90;90;10
"2019-10-01T11:51:02+02:00";40.7;90;90;10
"2019-10-01T11:51:32+02:00";40.2;90;90;10
"2019-10-01T11:52:02+02:00";40.2;90;90;10
"2019-10-01T11:52:32+02:00";40.3;90;90;10
"2019-10-01T11:53:02+02:00";41.3;90;90;10
"2019-10-01T11:53:32+02:00";40.9;90;90;10
"2019-10-01T11:54:02+02:00";41;90;90;10
"2019-10-01T11:54:32+02:00";40.9;90;90;10
"2019-10-01T11:55:02+02:00";41.5;90;90;10
"2019-10-01T11:55:32+02:00";40.6;90;90;10
"2019-10-01T11:56:02+02:00";41.1;90;90;10
"2019-10-01T11:56:32+02:00";40.1;90;90;10
"2019-10-01T11:57:02+02:00";40.6;90;90;10
"2019-10-01T11:57:32+02:00";41.1;90;90;10
"2019-10-01T11:58:02+02:00";41.2;90;90;10
"2019-10-01T11:58:32+02:00";40.8;90;90;10
"2019-10-01T11:59:02+02:00";40.9;90;90;10
"2019-10-01T11:59:32+02:00";40.8;90;90;10
"2019-10-01T12:00:02+02:00";40.2;90;90;10
"2019-10-01T12:00:32+02:00";40.2;90;90;10
"2019-10-01T12:01:02+02:00";40.1;90;90;10
"2019-10-01T12:01:32+02:00";40;90;90;10
"2019-10-01T12:02:02+02:00";40.4;90;90;10
"2019-10-01T12:02:32+02:00";39.9;90;90;10
"2019-10-01T12:03:02+02:00";40.3;90;90;10
"2019-10-01T12:03:32+02:00";39.8;90;90;10
"2019-10-01T12:04:02+02:00";40.3;90;90;10
"2019-10-01T12:04:32+02:00";40.3;90;90;10
"2019-10-01T12:05:02+02:00";40.4;90;90;10
"2019-10-01T12:05:32+02:00";40.3;90;90;10
"2019-10-01T12:06:02+02:00";40.9;90;90;10
"2019-10-01T12:06:32+02:00";41.5;90;90;10
"2019-10-01T12:07:02+02:00";40.1;90;90;10
"2019-10-01T12:07:32+02:00";40.1;90;90;10
"2019-10-01T12:08:02+02:00";40.6;90;90;10
"2019-10-01T12:08:32+02:00";40.6;90;90;10
"2019-10-01T12:09:02+02:00";41.1;90;90;10
"2019-10-01T12:09:32+02:00";40.7;90;90;10
"2019-10-01T12:10:02+02:00";39.7;90;90;10
"2019-10-01T12:10:32+02:00";41.1;90;90;10
"2019-10-01T12:11:02+02:00";40.8;90;90;10
"2019-10-01T12:11:32+02:00";40.8;90;90;10
"2019-10-01T12:12:02+02:00";40.3;90;90;10
"2019-10-01T12:12:32+02:00";41.3;90;90;10
"2019-10-01T12:13:02+02:00";40.3;90;90;10
"2019-10-01T12:13:32+02:00";41.3;90;90;10
"2019-10-01T12:14:02+02:00";40.8;90;90;10
"2019-10-01T12:14:32+02:00";41.4;90;90;10
"2019-10-01T12:15:02+02:00";41;90;90;10
"2019-10-01T12:15:32+02:00";41;90;90;10
"2019-10-01T12:16:02+02:00";41.5;90;90;10
"2019-10-01T12:16:32+02:00";40.5;90;90;10
"2019-10-01T12:17:02+02:00";42;90;90;10
"2019-10-01T12:17:32+02:00";40.6;90;90;10
"2019-10-01T12:18:02+02:00";41;90;90;10
"2019-10-01T12:18:32+02:00";41.4;90;90;10
"2019-10-01T12:19:02+02:00";41.4;90;90;10
"2019-10-01T12:19:32+02:00";40.5;90;90;10
"2019-10-01T12:20:02+02:00";40.9;90;90;10
"2019-10-01T12:20:32+02:00";41.4;90;90;10
"2019-10-01T12:21:02+02:00";42;90;90;10
"2019-10-01T12:21:32+02:00";41.6;90;90;10
"2019-10-01T12:22:02+02:00";41.1;90;90;10
"2019-10-01T12:22:32+02:00";41.6;90;90;10
"2019-10-01T12:23:02+02:00";41.3;90;90;10
"2019-10-01T12:23:32+02:00";41.3;90;90;10
"2019-10-01T12:24:02+02:00";41.3;90;90;10
"2019-10-01T12:24:32+02:00";41.3;90;90;10
"2019-10-01T12:25:02+02:00";40.8;90;90;10
"2019-10-01T12:25:32+02:00";40.7;90;90;10
"2019-10-01T12:26:02+02:00";40.6;90;90;10
"2019-10-01T12:26:32+02:00";40.5;90;90;10
"2019-10-01T12:27:02+02:00";39.9;90;90;10
"2019-10-01T12:27:32+02:00";40.4;90;90;10
"2019-10-01T12:28:02+02:00";40.7;90;90;10
"2019-10-01T12:28:32+02:00";41.3;90;90;10
"2019-10-01T12:29:02+02:00";40.9;90;90;10
"2019-10-01T12:29:32+02:00";40.9;90;90;10
"2019-10-01T12:30:02+02:00";41.4;90;90;10
"2019-10-01T12:30:32+02:00";41.4;90;90;10
"2019-10-01T12:31:02+02:00";40.4;90;90;10
"2019-10-01T12:31:32+02:00";38.5;90;90;10
"2019-10-01T12:32:02+02:00";39.6;90;90;10
"2019-10-01T12:32:32+02:00";41.4;90;90;10
"2019-10-01T12:33:02+02:00";41.7;90;90;10
"2019-10-01T12:33:32+02:00";42.6;90;90;10
"2019-10-01T12:34:02+02:00";42.6;90;90;10
"2019-10-01T12:34:32+02:00";42.4;90;90;10
